"databaseName","schemaName","tableName","columnName","dataType","length","nullable","defaultValue","ordinalPosition"
"DB2_A","LEGACY_01","BIZ_TABLE_001","ID","BIGINT","19","NO","","1"
"DB2_A","LEGACY_01","BIZ_TABLE_001","CUSTOMER_NO","CHAR","12","NO","","2"
"DB2_A","LEGACY_01","BIZ_TABLE_001","FULL_NAME","VARCHAR","80","YES","","3"
"DB2_A","LEGACY_01","BIZ_TABLE_001","LEVEL_CODE","VARCHAR","8","YES","L1","4"
"DB2_A","LEGACY_01","BIZ_TABLE_001","OPEN_DATE","DATE","10","NO","","5"
"DB2_A","LEGACY_01","BIZ_TABLE_001","SYNC_TAG","CHAR","1","YES","","6"
"DB2_A","LEGACY_01","BIZ_TABLE_001","OPERATOR_REMARK","VARCHAR","200","YES","","7"
"DB2_A","LEGACY_01","BIZ_TABLE_002","ID","DECIMAL","18","NO","","1"
"DB2_A","LEGACY_01","BIZ_TABLE_002","REGION_CODE","CHAR","6","NO","","2"
"DB2_A","LEGACY_01","BIZ_TABLE_002","OWNER_NAME","VARCHAR","50","YES","","3"
"DB2_A","LEGACY_01","BIZ_TABLE_002","AMOUNT","DECIMAL","12,2","NO","0","4"
"DB2_A","LEGACY_01","BIZ_TABLE_002","UPDATED_AT","DATE","10","NO","","5"
"DB2_A","LEGACY_01","BIZ_TABLE_002","HISTORY_MARK","CHAR","1","YES","","6"
"DB2_A","LEGACY_01","BIZ_TABLE_002","MANUAL_COMMENT","VARCHAR","180","YES","","7"
"DB2_A","LEGACY_01","BIZ_TABLE_003","ID","INTEGER","10","NO","","1"
"DB2_A","LEGACY_01","BIZ_TABLE_003","CATEGORY","VARCHAR","24","YES","","2"
"DB2_A","LEGACY_01","BIZ_TABLE_003","SCORE","INTEGER","10","YES","0","3"
"DB2_A","LEGACY_01","BIZ_TABLE_003","ACTIVE_FLAG","CHAR","1","NO","Y","4"
"DB2_A","LEGACY_01","BIZ_TABLE_003","LAST_SYNC_AT","DATE","10","NO","","5"
"DB2_A","LEGACY_01","BIZ_TABLE_003","SOURCE_TRACE","VARCHAR","40","YES","","6"
"DB2_A","LEGACY_01","BIZ_TABLE_003","ARCHIVE_NOTE","VARCHAR","160","YES","","7"
"DB2_A","LEGACY_01","BIZ_TABLE_004","ID","INTEGER","10","NO","","1"
"DB2_A","LEGACY_01","BIZ_TABLE_004","BIZ_CODE","VARCHAR","16","NO","","2"
"DB2_A","LEGACY_01","BIZ_TABLE_004","NAME","VARCHAR","60","YES","","3"
"DB2_A","LEGACY_01","BIZ_TABLE_004","STATUS","CHAR","1","YES","A","4"
"DB2_A","LEGACY_01","BIZ_TABLE_004","CREATED_AT","DATE","10","NO","","5"
"DB2_A","LEGACY_01","BIZ_TABLE_004","LEGACY_FLAG","CHAR","1","YES","","6"
"DB2_A","LEGACY_01","BIZ_TABLE_004","INTERNAL_NOTE","VARCHAR","120","YES","","7"
"DB2_A","LEGACY_01","BIZ_TABLE_005","ID","BIGINT","19","NO","","1"
"DB2_A","LEGACY_01","BIZ_TABLE_005","CUSTOMER_NO","CHAR","12","NO","","2"
"DB2_A","LEGACY_01","BIZ_TABLE_005","FULL_NAME","VARCHAR","80","YES","","3"
"DB2_A","LEGACY_01","BIZ_TABLE_005","LEVEL_CODE","VARCHAR","8","YES","L1","4"
"DB2_A","LEGACY_01","BIZ_TABLE_005","OPEN_DATE","DATE","10","NO","","5"
"DB2_A","LEGACY_01","BIZ_TABLE_005","SYNC_TAG","CHAR","1","YES","","6"
"DB2_A","LEGACY_01","BIZ_TABLE_005","OPERATOR_REMARK","VARCHAR","200","YES","","7"
"DB2_A","LEGACY_01","BIZ_TABLE_006","ID","DECIMAL","18","NO","","1"
"DB2_A","LEGACY_01","BIZ_TABLE_006","REGION_CODE","CHAR","6","NO","","2"
"DB2_A","LEGACY_01","BIZ_TABLE_006","OWNER_NAME","VARCHAR","50","YES","","3"
"DB2_A","LEGACY_01","BIZ_TABLE_006","AMOUNT","DECIMAL","12,2","NO","0","4"
"DB2_A","LEGACY_01","BIZ_TABLE_006","UPDATED_AT","DATE","10","NO","","5"
"DB2_A","LEGACY_01","BIZ_TABLE_006","HISTORY_MARK","CHAR","1","YES","","6"
"DB2_A","LEGACY_01","BIZ_TABLE_006","MANUAL_COMMENT","VARCHAR","180","YES","","7"
"DB2_A","LEGACY_01","BIZ_TABLE_007","ID","INTEGER","10","NO","","1"
"DB2_A","LEGACY_01","BIZ_TABLE_007","CATEGORY","VARCHAR","24","YES","","2"
"DB2_A","LEGACY_01","BIZ_TABLE_007","SCORE","INTEGER","10","YES","0","3"
"DB2_A","LEGACY_01","BIZ_TABLE_007","ACTIVE_FLAG","CHAR","1","NO","Y","4"
"DB2_A","LEGACY_01","BIZ_TABLE_007","LAST_SYNC_AT","DATE","10","NO","","5"
"DB2_A","LEGACY_01","BIZ_TABLE_007","SOURCE_TRACE","VARCHAR","40","YES","","6"
"DB2_A","LEGACY_01","BIZ_TABLE_007","ARCHIVE_NOTE","VARCHAR","160","YES","","7"
"DB2_A","LEGACY_01","BIZ_TABLE_008","ID","INTEGER","10","NO","","1"
"DB2_A","LEGACY_01","BIZ_TABLE_008","BIZ_CODE","VARCHAR","16","NO","","2"
"DB2_A","LEGACY_01","BIZ_TABLE_008","NAME","VARCHAR","60","YES","","3"
"DB2_A","LEGACY_01","BIZ_TABLE_008","STATUS","CHAR","1","YES","A","4"
"DB2_A","LEGACY_01","BIZ_TABLE_008","CREATED_AT","DATE","10","NO","","5"
"DB2_A","LEGACY_01","BIZ_TABLE_008","LEGACY_FLAG","CHAR","1","YES","","6"
"DB2_A","LEGACY_01","BIZ_TABLE_008","INTERNAL_NOTE","VARCHAR","120","YES","","7"
"DB2_A","LEGACY_01","BIZ_TABLE_009","ID","BIGINT","19","NO","","1"
"DB2_A","LEGACY_01","BIZ_TABLE_009","CUSTOMER_NO","CHAR","12","NO","","2"
