"databaseName","schemaName","tableName","columnName","dataType","length","nullable","defaultValue","ordinalPosition"
"SRC_09","LEGACY_09","TABLE_081","ID","BIGINT","19","NO","","1"
"SRC_09","LEGACY_09","TABLE_081","CATEGORY","VARCHAR","24","YES","","2"
"SRC_09","LEGACY_09","TABLE_081","SCORE","INTEGER","10","YES","0","3"
"SRC_09","LEGACY_09","TABLE_081","FLAG","CHAR","1","YES","N","4"
"SRC_09","LEGACY_09","TABLE_081","CREATED_BY","VARCHAR","40","NO","","5"
"SRC_09","LEGACY_09","TABLE_081","CREATED_AT","TIMESTAMP","","NO","","6"
"SRC_09","LEGACY_09","TABLE_082","ID","DECIMAL","18","NO","","1"
"SRC_09","LEGACY_09","TABLE_082","BIZ_CODE","CHAR","8","NO","","2"
"SRC_09","LEGACY_09","TABLE_082","DESCRIPTION","VARCHAR","120","YES","","3"
"SRC_09","LEGACY_09","TABLE_082","RATE","DECIMAL","8,4","YES","0","4"
"SRC_09","LEGACY_09","TABLE_082","ACTIVE","CHAR","1","NO","Y","5"
"SRC_09","LEGACY_09","TABLE_082","LAST_SYNC","TIMESTAMP","","YES","","6"
"SRC_09","LEGACY_09","TABLE_083","ID","INTEGER","10","NO","","1"
"SRC_09","LEGACY_09","TABLE_083","REGION_CODE","CHAR","6","NO","","2"
"SRC_09","LEGACY_09","TABLE_083","OWNER_NAME","VARCHAR","50","YES","","3"
"SRC_09","LEGACY_09","TABLE_083","REMARK","VARCHAR","200","YES","","4"
"SRC_09","LEGACY_09","TABLE_083","VERSION","INTEGER","10","NO","1","5"
"SRC_09","LEGACY_09","TABLE_083","UPDATED_BY","VARCHAR","30","YES","","6"
"SRC_09","LEGACY_09","TABLE_084","ID","INTEGER","10","NO","","1"
"SRC_09","LEGACY_09","TABLE_084","CODE","VARCHAR","16","NO","","2"
"SRC_09","LEGACY_09","TABLE_084","NAME","VARCHAR","60","YES","","3"
"SRC_09","LEGACY_09","TABLE_084","STATUS","CHAR","1","NO","A","4"
"SRC_09","LEGACY_09","TABLE_084","AMOUNT","DECIMAL","12,2","NO","0","5"
"SRC_09","LEGACY_09","TABLE_084","UPDATED_AT","TIMESTAMP","","YES","","6"
"SRC_09","LEGACY_09","TABLE_085","ID","BIGINT","19","NO","","1"
"SRC_09","LEGACY_09","TABLE_085","CATEGORY","VARCHAR","24","YES","","2"
"SRC_09","LEGACY_09","TABLE_085","SCORE","INTEGER","10","YES","0","3"
"SRC_09","LEGACY_09","TABLE_085","FLAG","CHAR","1","YES","N","4"
"SRC_09","LEGACY_09","TABLE_085","CREATED_BY","VARCHAR","40","NO","","5"
"SRC_09","LEGACY_09","TABLE_085","CREATED_AT","TIMESTAMP","","NO","","6"
"SRC_09","LEGACY_09","TABLE_086","ID","DECIMAL","18","NO","","1"
"SRC_09","LEGACY_09","TABLE_086","BIZ_CODE","CHAR","8","NO","","2"
"SRC_09","LEGACY_09","TABLE_086","DESCRIPTION","VARCHAR","120","YES","","3"
"SRC_09","LEGACY_09","TABLE_086","RATE","DECIMAL","8,4","YES","0","4"
"SRC_09","LEGACY_09","TABLE_086","ACTIVE","CHAR","1","NO","Y","5"
"SRC_09","LEGACY_09","TABLE_086","LAST_SYNC","TIMESTAMP","","YES","","6"
"SRC_09","LEGACY_09","TABLE_087","ID","INTEGER","10","NO","","1"
"SRC_09","LEGACY_09","TABLE_087","REGION_CODE","CHAR","6","NO","","2"
"SRC_09","LEGACY_09","TABLE_087","OWNER_NAME","VARCHAR","50","YES","","3"
"SRC_09","LEGACY_09","TABLE_087","REMARK","VARCHAR","200","YES","","4"
"SRC_09","LEGACY_09","TABLE_087","VERSION","INTEGER","10","NO","1","5"
"SRC_09","LEGACY_09","TABLE_087","UPDATED_BY","VARCHAR","30","YES","","6"
"SRC_09","LEGACY_09","TABLE_088","ID","INTEGER","10","NO","","1"
"SRC_09","LEGACY_09","TABLE_088","CODE","VARCHAR","16","NO","","2"
"SRC_09","LEGACY_09","TABLE_088","NAME","VARCHAR","60","YES","","3"
"SRC_09","LEGACY_09","TABLE_088","STATUS","CHAR","1","NO","A","4"
"SRC_09","LEGACY_09","TABLE_088","AMOUNT","DECIMAL","12,2","NO","0","5"
"SRC_09","LEGACY_09","TABLE_088","UPDATED_AT","TIMESTAMP","","YES","","6"
"SRC_09","LEGACY_09","TABLE_089","ID","BIGINT","19","NO","","1"
"SRC_09","LEGACY_09","TABLE_089","CATEGORY","VARCHAR","24","YES","","2"
"SRC_09","LEGACY_09","TABLE_089","SCORE","INTEGER","10","YES","0","3"
"SRC_09","LEGACY_09","TABLE_089","FLAG","CHAR","1","YES","N","4"
"SRC_09","LEGACY_09","TABLE_089","CREATED_BY","VARCHAR","40","NO","","5"
"SRC_09","LEGACY_09","TABLE_089","CREATED_AT","TIMESTAMP","","NO","","6"
"SRC_09","LEGACY_09","TABLE_090","ID","DECIMAL","18","NO","","1"
"SRC_09","LEGACY_09","TABLE_090","BIZ_CODE","CHAR","8","NO","","2"
"SRC_09","LEGACY_09","TABLE_090","DESCRIPTION","VARCHAR","120","YES","","3"
"SRC_09","LEGACY_09","TABLE_090","RATE","DECIMAL","8,4","YES","0","4"
"SRC_09","LEGACY_09","TABLE_090","ACTIVE","CHAR","1","NO","Y","5"
"SRC_09","LEGACY_09","TABLE_090","LAST_SYNC","TIMESTAMP","","YES","","6"
