"databaseName","schemaName","tableName","columnName","dataType","length","nullable","defaultValue","ordinalPosition"
"DB2_A","LEGACY_01","TABLE_001","ID","BIGINT","19","NO","","1"
"DB2_A","LEGACY_01","TABLE_001","BIZ_CODE","CHAR","8","NO","","2"
"DB2_A","LEGACY_01","TABLE_001","DESCRIPTION","VARCHAR","120","YES","","3"
"DB2_A","LEGACY_01","TABLE_001","FLAG","CHAR","1","YES","N","4"
"DB2_A","LEGACY_01","TABLE_001","VERSION","INTEGER","10","NO","1","5"
"DB2_A","LEGACY_01","TABLE_001","CREATED_AT","TIMESTAMP","","NO","","6"
"DB2_A","LEGACY_01","TABLE_002","ID","DECIMAL","18","NO","","1"
"DB2_A","LEGACY_01","TABLE_002","REGION_CODE","CHAR","6","NO","","2"
"DB2_A","LEGACY_01","TABLE_002","OWNER_NAME","VARCHAR","50","YES","","3"
"DB2_A","LEGACY_01","TABLE_002","REMARK","VARCHAR","200","YES","","4"
"DB2_A","LEGACY_01","TABLE_002","LAST_SYNC_AT","TIMESTAMP","","YES","","5"
"DB2_A","LEGACY_01","TABLE_002","ACTIVE","CHAR","1","NO","Y","6"
"DB2_A","LEGACY_01","TABLE_003","ID","INTEGER","10","NO","","1"
"DB2_A","LEGACY_01","TABLE_003","CATEGORY","VARCHAR","24","YES","","2"
"DB2_A","LEGACY_01","TABLE_003","SCORE","INTEGER","10","YES","0","3"
"DB2_A","LEGACY_01","TABLE_003","OWNER_ID","VARCHAR","20","NO","","4"
"DB2_A","LEGACY_01","TABLE_003","AUDIT_MARK","CHAR","1","YES","","5"
"DB2_A","LEGACY_01","TABLE_003","CREATED_BY","VARCHAR","40","NO","","6"
"DB2_A","LEGACY_01","TABLE_004","ID","INTEGER","10","NO","","1"
"DB2_A","LEGACY_01","TABLE_004","CODE","VARCHAR","16","NO","","2"
"DB2_A","LEGACY_01","TABLE_004","NAME","VARCHAR","60","YES","","3"
"DB2_A","LEGACY_01","TABLE_004","STATUS","CHAR","1","NO","A","4"
"DB2_A","LEGACY_01","TABLE_004","AMOUNT","DECIMAL","12,2","NO","0","5"
"DB2_A","LEGACY_01","TABLE_004","UPDATED_AT","TIMESTAMP","","YES","","6"
"DB2_A","LEGACY_01","TABLE_005","ID","BIGINT","19","NO","","1"
"DB2_A","LEGACY_01","TABLE_005","BIZ_CODE","CHAR","8","NO","","2"
"DB2_A","LEGACY_01","TABLE_005","DESCRIPTION","VARCHAR","120","YES","","3"
"DB2_A","LEGACY_01","TABLE_005","FLAG","CHAR","1","YES","N","4"
"DB2_A","LEGACY_01","TABLE_005","VERSION","INTEGER","10","NO","1","5"
"DB2_A","LEGACY_01","TABLE_005","CREATED_AT","TIMESTAMP","","NO","","6"
"DB2_A","LEGACY_01","TABLE_006","ID","DECIMAL","18","NO","","1"
"DB2_A","LEGACY_01","TABLE_006","REGION_CODE","CHAR","6","NO","","2"
"DB2_A","LEGACY_01","TABLE_006","OWNER_NAME","VARCHAR","50","YES","","3"
