"targetViewSchema","targetView","targetTableSchema","targetTable"
"VIEW_APP_01","TABLE_001_VIEW","ODS_01","TABLE_001_BASE"
"VIEW_APP_01","TABLE_001_VIEW","DWD_01","TABLE_001_PROFILE"
"VIEW_APP_01","TABLE_002_VIEW","ODS_01","TABLE_002_BASE"
"VIEW_APP_01","TABLE_002_VIEW","DWD_01","TABLE_002_PROFILE"
"VIEW_APP_01","TABLE_003_VIEW","ODS_01","TABLE_003_BASE"
"VIEW_APP_01","TABLE_003_VIEW","DWD_01","TABLE_003_PROFILE"
"VIEW_APP_01","TABLE_003_VIEW","ADS_01","TABLE_003_SUMMARY"
"VIEW_APP_01","TABLE_004_VIEW","ODS_01","TABLE_004_BASE"
"VIEW_APP_01","TABLE_004_VIEW","DWD_01","TABLE_004_PROFILE"
"VIEW_APP_01","TABLE_005_VIEW","ODS_01","TABLE_005_BASE"
"VIEW_APP_01","TABLE_005_VIEW","DWD_01","TABLE_005_PROFILE"
"VIEW_APP_01","TABLE_006_VIEW","ODS_01","TABLE_006_BASE"
"VIEW_APP_01","TABLE_006_VIEW","DWD_01","TABLE_006_PROFILE"
"VIEW_APP_01","TABLE_006_VIEW","ADS_01","TABLE_006_SUMMARY"
"VIEW_APP_01","TABLE_007_VIEW","ODS_01","TABLE_007_BASE"
"VIEW_APP_01","TABLE_007_VIEW","DWD_01","TABLE_007_PROFILE"
"VIEW_APP_01","TABLE_008_VIEW","ODS_01","TABLE_008_BASE"
"VIEW_APP_01","TABLE_008_VIEW","DWD_01","TABLE_008_PROFILE"
"VIEW_APP_01","TABLE_009_VIEW","ODS_01","TABLE_009_BASE"
"VIEW_APP_01","TABLE_009_VIEW","DWD_01","TABLE_009_PROFILE"
"VIEW_APP_01","TABLE_009_VIEW","ADS_01","TABLE_009_SUMMARY"
"VIEW_APP_01","TABLE_010_VIEW","ODS_01","TABLE_010_BASE"
"VIEW_APP_01","TABLE_010_VIEW","DWD_01","TABLE_010_PROFILE"
"VIEW_APP_01","TABLE_011_VIEW","ODS_01","TABLE_011_BASE"
"VIEW_APP_01","TABLE_011_VIEW","DWD_01","TABLE_011_PROFILE"
"VIEW_APP_01","TABLE_012_VIEW","ODS_01","TABLE_012_BASE"
"VIEW_APP_01","TABLE_012_VIEW","DWD_01","TABLE_012_PROFILE"
"VIEW_APP_01","TABLE_012_VIEW","ADS_01","TABLE_012_SUMMARY"
"VIEW_APP_02","TABLE_013_VIEW","ODS_02","TABLE_013_BASE"
"VIEW_APP_02","TABLE_013_VIEW","DWD_02","TABLE_013_PROFILE"
"VIEW_APP_02","TABLE_014_VIEW","ODS_02","TABLE_014_BASE"
"VIEW_APP_02","TABLE_014_VIEW","DWD_02","TABLE_014_PROFILE"
"VIEW_APP_02","TABLE_015_VIEW","ODS_02","TABLE_015_BASE"
"VIEW_APP_02","TABLE_015_VIEW","DWD_02","TABLE_015_PROFILE"
"VIEW_APP_02","TABLE_015_VIEW","ADS_02","TABLE_015_SUMMARY"
"VIEW_APP_02","TABLE_016_VIEW","ODS_02","TABLE_016_BASE"
"VIEW_APP_02","TABLE_016_VIEW","DWD_02","TABLE_016_PROFILE"
"VIEW_APP_02","TABLE_017_VIEW","ODS_02","TABLE_017_BASE"
"VIEW_APP_02","TABLE_017_VIEW","DWD_02","TABLE_017_PROFILE"
"VIEW_APP_02","TABLE_018_VIEW","ODS_02","TABLE_018_BASE"
"VIEW_APP_02","TABLE_018_VIEW","DWD_02","TABLE_018_PROFILE"
"VIEW_APP_02","TABLE_018_VIEW","ADS_02","TABLE_018_SUMMARY"
"VIEW_APP_02","TABLE_019_VIEW","ODS_02","TABLE_019_BASE"
"VIEW_APP_02","TABLE_019_VIEW","DWD_02","TABLE_019_PROFILE"
"VIEW_APP_02","TABLE_020_VIEW","ODS_02","TABLE_020_BASE"
