"databaseName","schemaName","tableName","columnName","dataType","length","nullable","defaultValue","ordinalPosition"
"GAUSS_VIEW","VIEW_APP_01","TABLE_001_VIEW","ID","BIGINT","19","NO","","1"
"GAUSS_VIEW","VIEW_APP_01","TABLE_001_VIEW","BIZ_CODE","CHAR","8","NO","","2"
"GAUSS_VIEW","VIEW_APP_01","TABLE_001_VIEW","DESCRIPTION","VARCHAR","120","YES","","3"
"GAUSS_VIEW","VIEW_APP_01","TABLE_001_VIEW","FLAG","CHAR","1","YES","N","4"
"GAUSS_VIEW","VIEW_APP_01","TABLE_001_VIEW","VERSION","INTEGER","10","NO","1","5"
"GAUSS_VIEW","VIEW_APP_01","TABLE_001_VIEW","CREATED_AT","TIMESTAMP","","NO","","6"
"GAUSS_VIEW","VIEW_APP_01","TABLE_002_VIEW","ID","DECIMAL","18","NO","","1"
"GAUSS_VIEW","VIEW_APP_01","TABLE_002_VIEW","REGION_CODE","CHAR","6","NO","","2"
"GAUSS_VIEW","VIEW_APP_01","TABLE_002_VIEW","OWNER_NAME","VARCHAR","80","YES","","3"
"GAUSS_VIEW","VIEW_APP_01","TABLE_002_VIEW","REMARK","VARCHAR","200","YES","","4"
"GAUSS_VIEW","VIEW_APP_01","TABLE_002_VIEW","LAST_SYNC_AT","TIMESTAMP","","YES","","5"
"GAUSS_VIEW","VIEW_APP_01","TABLE_002_VIEW","ACTIVE","CHAR","1","NO","Y","6"
"GAUSS_VIEW","VIEW_APP_01","TABLE_003_VIEW","ID","INTEGER","10","NO","","1"
"GAUSS_VIEW","VIEW_APP_01","TABLE_003_VIEW","CATEGORY","VARCHAR","24","YES","","2"
"GAUSS_VIEW","VIEW_APP_01","TABLE_003_VIEW","SCORE","INTEGER","10","YES","0","3"
"GAUSS_VIEW","VIEW_APP_01","TABLE_003_VIEW","OWNER_ID","VARCHAR","4","NO","","4"
"GAUSS_VIEW","VIEW_APP_01","TABLE_003_VIEW","AUDIT_MARK","CHAR","1","YES","","5"
"GAUSS_VIEW","VIEW_APP_01","TABLE_003_VIEW","CREATED_BY","VARCHAR","40","NO","","6"
"GAUSS_VIEW","VIEW_APP_01","TABLE_004_VIEW","ID","INTEGER","10","NO","","1"
"GAUSS_VIEW","VIEW_APP_01","TABLE_004_VIEW","CODE","VARCHAR","16","NO","","2"
"GAUSS_VIEW","VIEW_APP_01","TABLE_004_VIEW","NAME","VARCHAR","60","YES","","3"
"GAUSS_VIEW","VIEW_APP_01","TABLE_004_VIEW","STATUS","CHAR","1","NO","A","4"
"GAUSS_VIEW","VIEW_APP_01","TABLE_004_VIEW","AMOUNT","DECIMAL","12,2","NO","2","5"
"GAUSS_VIEW","VIEW_APP_01","TABLE_004_VIEW","UPDATED_AT","TIMESTAMP","","YES","","6"
"GAUSS_VIEW","VIEW_APP_01","TABLE_005_VIEW","ID","BIGINT","19","NO","","1"
"GAUSS_VIEW","VIEW_APP_01","TABLE_005_VIEW","BIZ_CODE","CHAR","8","YES","","2"
"GAUSS_VIEW","VIEW_APP_01","TABLE_005_VIEW","DESCRIPTION","VARCHAR","120","YES","","3"
"GAUSS_VIEW","VIEW_APP_01","TABLE_005_VIEW","FLAG","CHAR","1","YES","N","4"
"GAUSS_VIEW","VIEW_APP_01","TABLE_005_VIEW","VERSION","INTEGER","10","NO","1","5"
"GAUSS_VIEW","VIEW_APP_01","TABLE_005_VIEW","CREATED_AT","TIMESTAMP","","NO","","6"
"GAUSS_VIEW","VIEW_APP_01","TABLE_006_VIEW","ID","DECIMAL","18","NO","","1"
"GAUSS_VIEW","VIEW_APP_01","TABLE_006_VIEW","REGION_CODE","CHAR","6","NO","","2"
"GAUSS_VIEW","VIEW_APP_01","TABLE_006_VIEW","OWNER_NAME","VARCHAR","50","YES","","3"
"GAUSS_VIEW","VIEW_APP_01","TABLE_006_VIEW","REMARK","VARCHAR","200","YES","","4"
"GAUSS_VIEW","VIEW_APP_01","TABLE_006_VIEW","LAST_SYNC_AT","TIMESTAMP","","YES","","5"
"GAUSS_VIEW","VIEW_APP_01","TABLE_007_VIEW","ID","INTEGER","10","NO","","1"
"GAUSS_VIEW","VIEW_APP_01","TABLE_007_VIEW","CATEGORY","VARCHAR","24","YES","","2"
"GAUSS_VIEW","VIEW_APP_01","TABLE_007_VIEW","SCORE","INTEGER","10","YES","0","3"
"GAUSS_VIEW","VIEW_APP_01","TABLE_007_VIEW","OWNER_ID","VARCHAR","20","NO","","4"
"GAUSS_VIEW","VIEW_APP_01","TABLE_007_VIEW","AUDIT_MARK","CHAR","1","YES","","5"
"GAUSS_VIEW","VIEW_APP_01","TABLE_007_VIEW","CREATED_BY","VARCHAR","40","NO","","6"
"GAUSS_VIEW","VIEW_APP_01","TABLE_007_VIEW","EXTRA_FLAG","VARCHAR","5","YES","","7"
"GAUSS_VIEW","VIEW_APP_01","TABLE_008_VIEW","ID","NUMERIC","18","NO","","1"
"GAUSS_VIEW","VIEW_APP_01","TABLE_008_VIEW","CODE","VARCHAR","16","NO","","2"
"GAUSS_VIEW","VIEW_APP_01","TABLE_008_VIEW","NAME","VARCHAR","30","YES","","3"
"GAUSS_VIEW","VIEW_APP_01","TABLE_008_VIEW","STATUS","CHAR","1","NO","A","4"
"GAUSS_VIEW","VIEW_APP_01","TABLE_008_VIEW","AMOUNT","DECIMAL","12,2","NO","0","5"
"GAUSS_VIEW","VIEW_APP_01","TABLE_008_VIEW","UPDATED_AT","TIMESTAMP","","YES","","6"
"GAUSS_VIEW","VIEW_APP_01","TABLE_009_VIEW","ID","BIGINT","19","NO","","1"
"GAUSS_VIEW","VIEW_APP_01","TABLE_009_VIEW","BIZ_CODE","CHAR","8","NO","","2"
"GAUSS_VIEW","VIEW_APP_01","TABLE_009_VIEW","DESCRIPTION","VARCHAR","120","YES","","3"
"GAUSS_VIEW","VIEW_APP_01","TABLE_009_VIEW","FLAG","CHAR","1","YES","ARCHIVED","4"
"GAUSS_VIEW","VIEW_APP_01","TABLE_009_VIEW","VERSION","INTEGER","10","NO","1","5"
"GAUSS_VIEW","VIEW_APP_01","TABLE_009_VIEW","CREATED_AT","TIMESTAMP","","YES","","6"
"GAUSS_VIEW","VIEW_APP_01","TABLE_010_VIEW","ID","DECIMAL","18","NO","","1"
"GAUSS_VIEW","VIEW_APP_01","TABLE_010_VIEW","REGION_CODE","CHAR","6","NO","","2"
"GAUSS_VIEW","VIEW_APP_01","TABLE_010_VIEW","OWNER_NAME","VARCHAR","50","YES","","3"
"GAUSS_VIEW","VIEW_APP_01","TABLE_010_VIEW","REMARK","VARCHAR","200","YES","","4"
"GAUSS_VIEW","VIEW_APP_01","TABLE_010_VIEW","LAST_SYNC_AT","TIMESTAMP","","YES","","5"
"GAUSS_VIEW","VIEW_APP_01","TABLE_010_VIEW","ACTIVE","CHAR","1","NO","Y","6"
"GAUSS_VIEW","VIEW_APP_01","TABLE_011_VIEW","ID","INTEGER","10","NO","","1"
"GAUSS_VIEW","VIEW_APP_01","TABLE_011_VIEW","CATEGORY","VARCHAR","24","YES","","2"
"GAUSS_VIEW","VIEW_APP_01","TABLE_011_VIEW","SCORE","INTEGER","80","YES","0","3"
"GAUSS_VIEW","VIEW_APP_01","TABLE_011_VIEW","OWNER_ID","VARCHAR","20","NO","","4"
"GAUSS_VIEW","VIEW_APP_01","TABLE_011_VIEW","AUDIT_MARK","CHAR","1","YES","","5"
"GAUSS_VIEW","VIEW_APP_01","TABLE_011_VIEW","CREATED_BY","VARCHAR","40","NO","","6"
"GAUSS_VIEW","VIEW_APP_01","TABLE_012_VIEW","ID","INTEGER","10","NO","","1"
"GAUSS_VIEW","VIEW_APP_01","TABLE_012_VIEW","CODE","VARCHAR","16","NO","","2"
"GAUSS_VIEW","VIEW_APP_01","TABLE_012_VIEW","NAME","VARCHAR","60","YES","","3"
"GAUSS_VIEW","VIEW_APP_01","TABLE_012_VIEW","STATUS","VARCHAR","4","NO","A","4"
"GAUSS_VIEW","VIEW_APP_01","TABLE_012_VIEW","AMOUNT","DECIMAL","12,2","NO","0","5"
